2017/9/26,NOx (ppb),O3 (ppb),PM 2.5  (£gg/m 3 ),NMHC (ppm),CO (ppm),NO (ppb),NO2 (ppb),PM 10  (£gg/m 3 ),CH4 (ppm),BENZENE (ppb),TOLUENE (ppb),ETHYLBENZENE (ppb),M_P_XYLENES (ppb),O_XYLENE (ppb),THC (ppm),SO2 (ppb)
0,15,11,19,0.14,0.36,3.1,12,28,1.9,0.4,2.8,0.3,1,0.4,2,2.4
1,12,10,19,0.14,0.29,1.9,9.8,30,1.9,0,0,0,0,0,2,1.4
2,10,12,19,0.1,0.28,2.2,8.3,26,1.9,0.3,2.2,0.3,0.9,0.4,2,1.1
3,9.1,11,14,0.09,0.24,2.3,6.8,25,1.8,0.3,1.8,0.2,0.7,0.3,1.9,0.8
4,8.1,11,15,0.1,0.21,1.7,6.4,24,1.9,0.2,2.4,0.2,0.6,0.3,2,0.9
5,14,8.2,17,0.14,0.34,5,8.6,26,1.9,0.4,3.2,0.3,0.9,0.4,2,1.2
6,33,5.8,12,0.22,0.67,21,12,30,1.9,0.7,3.2,0.4,1.5,0.6,2.1,1.4
7,62,5.5,11,0.5,1.58,45,17,29,1.9,1.5,6.1,1,3.4,1.5,2.3,2
8,62,14,18,0.52,1.93,36,26,34,1.8,1.9,8,1.4,4.6,2.1,2.4,2.6
9,51,30,25,0.4,1.28,22,28,41,1.8,1.3,11,1,3.2,1.5,2.2,2.9
10,36,57,27,0.33,0.88,7.4,29,43,1.8,0.8,10,0.6,1.9,0.9,2.1,3.1
11,37,85,31,0.33,0.81,4.5,33,47,1.8,0.8,12,0.6,1.5,0.7,2.1,4.2
12,39,100,33,0.33,0.93,4.6,34,53,1.8,0.8,10,0.6,1.4,0.7,2.1,4.2
13,37,0,0,0.23,0.76,6,31,0,1.8,0.7,5.5,0.5,1.3,0.6,2,3.8
14,45,0,18,0.29,0.88,15,30,31,1.8,0.9,7.5,0.6,1.9,0.9,2.1,3.4
15,50,0,19,0.3,0.88,18,32,34,1.8,0.8,8,0.6,1.9,0.9,2,3.3
16,70,15,21,0.43,1.28,31,39,39,1.8,1.1,10,0.9,3,1.4,2.2,3.6
17,77,8,24,0.56,1.77,36,40,40,1.8,1.5,12,1.2,4.1,1.8,2.4,4.4
18,91,3.6,24,0.8,2.41,47,44,38,1.9,2.2,16,1.8,6.1,2.7,2.7,4.9
19,94,4,26,0.79,2.25,49,45,43,2,2.4,17,2,6.7,3,2.8,5.3
20,54,10,25,0.49,1.27,17,37,44,1.9,1.3,15,1.2,4,1.8,2.4,3.9
21,31,23,20,0.29,0.79,6.3,25,37,1.9,0.8,7.2,0.7,2.3,1.1,2.1,2.1
22,32,20,20,0.27,0.75,9,23,34,1.9,0.8,6,0.6,2,0.9,2.1,2
23,16,25,20,0.17,0.44,2.4,13,30,1.8,0.4,4.1,0.4,1.2,0.5,2,1.4
