"Year","Month","SOI"
1933,"Jan",-11.5005338349285
1933,"Feb",5.08029300213434
1933,"Mar",-1.75919531141856
1933,"Apr",2.16200171450026
1933,"May",3.75678624915096
1933,"Jun",-2.3428535689452
1933,"Jul",2.67167512248158
1933,"Aug",-0.394585864243883
1933,"Sep",1.70165153955009
1933,"Oct",2.91007074879532
1933,"Nov",5.35979132264005
1933,"Dec",7.98214321209132
1934,"Jan",6.74906238633074
1934,"Feb",0.147969699091361
1934,"Mar",0.213734009798521
1934,"Apr",3.64169870541349
1934,"May",-4.62816336602177
1934,"Jun",6.53532837653194
1934,"Jul",2.17844279217717
1934,"Aug",-17.1644850945893
1934,"Sep",-5.20360108471052
1934,"Oct",3.40330307909973
1934,"Nov",9.79888229537862
1934,"Dec",-2.37573572429904
1935,"Jan",6.74906238633074
1935,"Feb",-4.78435360395162
1935,"Mar",11.0648452764927
1935,"Apr",1.66876938419641
1935,"May",-4.13493103571792
1935,"Jun",-1.35638890833694
1935,"Jul",-0.287718859344323
1935,"Aug",1.57834345697376
1935,"Sep",5.1542778516804
1935,"Oct",5.86946473062122
1935,"Nov",2.89362967111856
1935,"Dec",-3.85543271521227
1936,"Jan",-2.12911955914696
1936,"Feb",0.641202029395771
1936,"Mar",1.69343100071119
1936,"Apr",13.5063453114994
1936,"May",2.77032158854214
1936,"Jun",-0.86315657803253
1936,"Jul",3.16490745278599
1936,"Aug",-6.80660615819953
1936,"Sep",2.19488386985394
1936,"Oct",-0.0493232330300213
1936,"Nov",-10.4236432470977
1936,"Dec",0.583658257526857
1937,"Jan",9.70845636815608
1937,"Feb",-5.27758593425603
1937,"Mar",5.63928964314591
1937,"Apr",1.175537053892
1937,"May",-0.189072393283198
1937,"Jun",2.09623740379281
1937,"Jul",-4.23357750177848
1937,"Aug",2.56480811758258
1937,"Sep",0.715186878941274
1937,"Oct",-2.02225255424766
1937,"Nov",-1.54546130162001
1937,"Dec",6.50244622117866
1938,"Jan",7.735527046939
1938,"Feb",3.60059601122167
1938,"Mar",-3.23889230233179
1938,"Apr",2.16200171450026
1938,"May",8.19587722189009
1938,"Jun",10.9744193492705
1938,"Jul",14.0160187194808
